,model,birth_place,l,tone,n_covers,birth_country,birth_country2
95,Riley Keough,"  St. Johns Hospital and Health Center, Santa Monica, California, U.S.",0.7573295990000001,#D5BBAC,1,U.S.,U.S.
96,Rooney Mara,"Bedford, New York, U.S.",0.737874183,#D5B2A2,3,U.S.,U.S.
97,Ruth Negga,"Addis Ababa, Ethiopia",0.553594771,#B88162,1,Ethiopia,Ethiopia
98,Salma Hayek,"Coatzacoalcos, Veracruz, Mexico",0.58583878,#BB8A6F,1,Mexico,Mexico
99,Sandra Bullock,"Arlington, Virginia, U.S.",0.624362745,#C69477,4,U.S.,U.S.
100,Saoirse Ronan,"New York City, U.S.",0.634238311,#CAA378,1,U.S.,U.S.
101,Sarah Jessica Parker,"Nelsonville, Ohio, U.S.",0.620602718,#C39A78,6,U.S.,U.S.
102,Sasha Pivovarova,"Moscow, Soviet Union",0.639433551,#C99C7C,1,Soviet Union,Soviet Union
103,Scarlett Johansson,"New York City, U.S.",0.657796452,#C19E8D,2,U.S.,U.S.
104,Selena Gomez,"Grand Prairie, Texas, U.S.",0.623227753,#CE966F,1,U.S.,U.S.
105,Sienna Miller,"New York City, U.S.",0.683453159,#D4A687,4,U.S.,U.S.
106,Taylor Swift,"West Reading, Pennsylvania, U.S.",0.720754228,#DDAA91,3,U.S.,U.S.
107,Tina Fey,"Upper Darby Township, Pennsylvania, U.S.",0.609150327,#D09466,1,U.S.,U.S.
108,Uma Thurman,"Boston, Massachusetts, U.S.",0.65321267,#CEA57E,2,U.S.,U.S.
109,Vanessa Axente,"Nagylengyel, Hungary",0.674379085,#DB997C,1,Hungary,Hungary
110,Vittoria Ceretti,"Brescia, Italy",0.621746881,#DB8861,1,Italy,Italy
111,Winona Ryder,"Winona, Minnesota, U.S.",0.727591036,#CEAFA4,1,U.S.,U.S.
112,Zendaya,"Oakland, California, U.S.",0.598039216,#C6876A,1,U.S.,U.S.
113,Amy Schumer,,0.756951872,#E4BD9D,1,nan,U.S.
114,Angelina Jolie,,0.6689346420000001,#CB9E89,5,nan,U.S.
115,Ashley Graham,,0.5546568629999999,#D0724A,1,nan,U.S.
116,Hope Solo,,0.659869281,#CDA182,1,nan,U.S.
117,Liu Wen,,0.560980392,#C87955,1,nan,China
118,Marion Jones,,0.558371041,#C77955,1,nan,U.S.
119,Melania Trump,,0.74956427,#DBBCA2,1,nan,Slovenia
120,Michelle Obama,,0.44551742899999996,#A16241,3,nan,U.S.
121,Michelle Williams,,0.788601405,#DDCBB4,2,nan,U.S.
122,Serena Williams,,0.416404062,#925841,3,nan,U.S.
